Time,Latency
07:44:18,23.80
07:44:19,16.90
07:44:20,16.84
07:44:21,18.44
07:44:22,18.16
07:44:23,27.36
07:44:24,17.96
07:44:25,16.47
07:44:26,18.42
07:44:27,18.96
07:44:28,32.93
07:44:29,54.88
07:44:30,39.03
07:44:31,45.55
07:44:32,39.60
07:44:33,30.67
07:44:34,37.55
07:44:35,33.28
07:44:36,16.94
07:44:37,16.96
